"title","feedUrl","iTunesUrl"
"eeddcast","https://anchor.fm/s/518a5d8/podcast/rss","https://itunes.apple.com/us/podcast/eeddcast/id1403815762?mt=2"
"Ei Me Tiedetä","http://feeds.soundcloud.com/users/soundcloud:users:87993628/sounds.rss",
"Elinkeinoelämän ääni","https://cms.podcastit.me/podcast/eka/feed/","https://itunes.apple.com/fi/podcast/elinkeinoel%C3%A4m%C3%A4n-%C3%A4%C3%A4ni/id1375906696?mt=2&ls=1#episodeGuid=http%3A%2F%2Fcms.podcastit.me%2F%3Fp%3D602"
"Emilia ja arjen kemiaa","https://rss.acast.com/emiliajaarjenkemiaa","https://itunes.apple.com/fi/podcast/emilia-ja-arjen-kemiaa/id1330906536?mt=2"
"Ennakointikupla","http://ennakointikupla.fi/feed/podcast/",
"Ennen Maailmanloppua -podcast","http://feeds.soundcloud.com/users/soundcloud:users:284728691/sounds.rss",
"Episodi Tuomiolla","http://feeds.soundcloud.com/users/soundcloud:users:134463572/sounds.rss","https://itunes.apple.com/fi/podcast/episodi-tuomiolla/id978696292?l=fi&mt=2"
"Erehdysekspertti","http://feeds.yle.fi/areena/v1/series/1-3030993.rss?lang=fi&downloadable=true","https://itunes.apple.com/fi/podcast/erehdysekspertti/id1041375680?l=fi&mt=2"
"Erityisvanhemman korjaussarja -podcast","http://feeds.soundcloud.com/users/soundcloud:users:402480456/sounds.rss",
"ERÄLOKI PODCAST","http://feeds.soundcloud.com/users/soundcloud:users:376301966/sounds.rss",
"Esports+","http://feeds.soundcloud.com/users/soundcloud:users:317498994/sounds.rss","https://itunes.apple.com/us/podcast/esports/id1256386662?mt=2"
"Esseekelaa","http://jakso.fi/podcastit/esseekelaa/feed",
"Fida Podcast","http://feeds.soundcloud.com/users/soundcloud:users:483994983/sounds.rss",
"Fonto Radio","http://fontoradio.fi/FontoRadio.xml","https://itunes.apple.com/fi/podcast/fonto-radio/id1069870364"
"Formulacast","http://feeds.soundcloud.com/users/soundcloud:users:279914436/sounds.rss","https://itunes.apple.com/us/podcast/formulacast/id1191849128?mt=2"
"Frontend Friday","http://feeds.feedburner.com/FrontendFriday","https://itunes.apple.com/fi/podcast/frontend-friday/id630470814?l=fi&mt=2"
"Future Proof by Workday Designers","http://feeds.soundcloud.com/users/soundcloud:users:503530896/sounds.rss",
"Geekki Podcast","http://feeds.soundcloud.com/users/soundcloud:users:258355594/sounds.rss",
"Grym+Jalkanen vs maailma","http://feeds.soundcloud.com/users/soundcloud:users:244075680/sounds.rss",
"Haapala&Sottinen Podcast","http://feeds.soundcloud.com/users/soundcloud:users:103688495/sounds.rss","https://itunes.apple.com/fi/podcast/haapala-sottinen-podcast/id947824450?l=fi&mt=2"
"hakaloylyt","http://feeds.soundcloud.com/users/soundcloud:users:186300468/sounds.rss",
"Hanna ja Joonas - Kermaperse & Komposti","https://rss.acast.com/kermaperse",
"Hanski & Jaska Show","http://feeds.soundcloud.com/users/soundcloud:users:220685187/sounds.rss",
"HATSOLO PODCAST","http://hatsolo.podbean.com/feed/",
"Helsinki Design Week Podcast","http://hdwpodcast.libsyn.com/rss","https://itunes.apple.com/us/podcast/id1274495051"
"Henki ja elämä: Suhdetohtori H. Neitsytsaari ja parisuhteen ihmeelliset ilmiöt","http://henkijaelama.fi/feed/podcast/",
"HessunKahvila","http://feeds.feedburner.com/Hessunkahvila","https://itunes.apple.com/fi/podcast/hessunkahvila-hessunkahvila/id130085879?l=fi&mt=2"
"Hikipodcast","http://feeds.soundcloud.com/users/soundcloud:users:383717216/sounds.rss",
"Historian nurkkapöytä","http://feeds.soundcloud.com/users/soundcloud:users:210474418/sounds.rss",
"Hiukkasviihdytin","http://feeds.soundcloud.com/users/soundcloud:users:453145734/sounds.rss",
"Huorapuutarha","http://feeds.soundcloud.com/users/soundcloud:users:274307856/sounds.rss",
"hypoteettinen podcast","https://hypoteettinenpodcast.podiant.co/rss/",
"Hyvän sään aikana","https://mondediplo.fi/podcast/hyvansaanaikana.xml",
"Hyvät ihmiset","http://feeds.soundcloud.com/users/soundcloud:users:302067905/sounds.rss","https://itunes.apple.com/us/podcast/id1315442508"
"Hyvää huomista","https://www.sitra.fi/artikkelityypit/podcast/feed/",
"Hölkkäuutiset","http://feeds.soundcloud.com/users/soundcloud:users:191481369/sounds.rss",
"Ihanat Ipanat","http://rss.acast.com/ihanatipanat","https://itunes.apple.com/us/podcast/ihanat-ipanat/id1229843961?mt=2"
"Ihmisiä, siis eläimiä","http://feeds.soundcloud.com/users/soundcloud:users:358481639/sounds.rss",
"Iitti-podcast","http://feeds.soundcloud.com/users/soundcloud:users:411167364/sounds.rss",
"Ikkunastudio","http://simplecast.fm/podcasts/1054/rss","https://itunes.apple.com/fi/podcast/ikkunastudio/id973085893?l=fi&mt=2"
"Impulssi-podcast","https://impulssilvm.fi/category/podcastit/feed/","https://subscribeonandroid.com/impulssilvm.fi/category/podcastit/feed/"
"InspiRadio Podcast","http://inspiradio.libsyn.com/rss","https://itunes.apple.com/fi/podcast/inspiradio-podcast/id960799115?l=fi&mt=2"
"Intiaanit tullee!","https://feeds.yle.fi/areena/v1/series/1-4172970.rss?lang=fi&downloadable=true",
"Iris & Melissa: Jatkoilla","http://feeds.soundcloud.com/users/soundcloud:users:287091984/sounds.rss","https://itunes.apple.com/fi/podcast/iris-melissa-jatkoilla/id1215904993?mt=2"
"Iso Kolmonen","http://feeds.soundcloud.com/users/soundcloud:users:306095969/sounds.rss","https://itunes.apple.com/us/podcast/iso-kolmonen/id1257505147?mt=2"
"IT-työn tulevaisuus","http://feeds.soundcloud.com/users/soundcloud:users:333583067/sounds.rss",
"Jari & Otto Show","http://feeds.soundcloud.com/users/soundcloud:users:533609829/sounds.rss",
"Jari Sarasvuo","http://feeds.yle.fi/areena/v1/series/1-1791080.rss?lang=fi&downloadable=true","https://itunes.apple.com/fi/podcast/jari-sarasvuo/id593431292?mt=2"
"Jose Ahonen - Pään Sisällä podcast","http://joseahonen.podbean.com/feed/",
"Jumikemut","https://feeds.soundcloud.com/users/soundcloud:users:290487865/sounds.rss",
"Just sopivasti","http://feeds.soundcloud.com/users/soundcloud:users:190069834/sounds.rss",
"JuttaxKaisa","http://feeds.soundcloud.com/users/soundcloud:users:265404295/sounds.rss",
"Jäljillä","http://feeds.soundcloud.com/users/soundcloud:users:425252139/sounds.rss",
"Jäljillä","http://feeds.soundcloud.com/users/soundcloud:users:425252139/sounds.rss",
"Jälkipyykkipäivä Podcast","http://feeds.soundcloud.com/users/soundcloud:users:131457154/sounds.rss","https://itunes.apple.com/fi/podcast/jalkipyykkipaiva-podcast/id960694411?l=fi&mt=2"
"Järkytä avoimuudella","http://feeds.soundcloud.com/users/soundcloud:users:251625717/sounds.rss",
"Kaarlen podcastit","http://feeds.soundcloud.com/users/soundcloud:users:4624400/sounds.rss","https://itunes.apple.com/fi/podcast/kaarlen-podcastit/id990602615?l=fi&mt=2"
"Kadonnut","http://feeds.yle.fi/areena/v1/series/1-3269144.rss?lang=fi&downloadable=true",
"Kaikille teille","http://feeds.soundcloud.com/users/soundcloud:users:204199081/sounds.rss","https://itunes.apple.com/fi/podcast/kaikille-teille/id1082227723?l=fi&mt=2"
"KAISTAVAHTI BY SIR TOIVONEN","http://rss.acast.com/kaistavaihti","https://itunes.apple.com/us/podcast/kaistavahti-by-sir-toivonen/id1237314255?mt=2"
"Kalle Haatanen","https://feeds.yle.fi/areena/v1/series/1-1853467.rss?lang=fi&downloadable=true",
"Kamppailukatsaus","http://feeds.soundcloud.com/users/soundcloud:users:17989979/sounds.rss",
"Kamraatit Podcast","http://kamraatit.libsyn.com/rss","https://itunes.apple.com/fi/podcast/kamraatit-podcast/id919953060?l=fi&mt=2"
"Kara Kuumana - Johtamisen jyväsiä","http://feeds.soundcloud.com/users/soundcloud:users:300193001/sounds.rss",
"Kasper & Mikko - Suomen suosituin podcast","http://rss.acast.com/suomensuosituinpodcast","https://itunes.apple.com/us/podcast/kasper-mikko-suomen-suosituin-podcast/id1276305505?mt=2"
"Kasvatusviisautta kiireisille","https://feeds.yle.fi/areena/v1/series/1-4362015.rss?lang=fi&downloadable=true",
"Kasvumatka","https://cms.podcastit.me/podcast/kasvumatka/feed/","https://itunes.apple.com/fi/podcast/kasvumatka/id1406311500?mt=2&ls=1#episodeGuid=http%3A%2F%2Fcms.podcastit.me%2F%3Fp%3D515"
"Kekkonen Pelastaa Maailman - Juuso Kekkonen","http://feeds.podtrac.com/2y16PEOwKxvb",
"Kenen vuoro?","http://feeds.soundcloud.com/users/soundcloud:users:502908660/sounds.rss",
"Kevytyrittäjyys podcast","http://feeds.soundcloud.com/users/soundcloud:users:303560318/sounds.rss",
"Kielikorva","http://feeds.soundcloud.com/users/soundcloud:users:501304179/sounds.rss",
"KinoSilmä","http://feeds.feedburner.com/kinos","https://itunes.apple.com/fi/podcast/kinosilma/id214633203?l=fi&mt=2"
"Kirjahetki","https://anchor.fm/s/6aceeb8/podcast/rss",
"Kirjakerho","http://feeds.yle.fi/areena/v1/series/1-1257264.rss?lang=fi&downloadable=true","https://itunes.apple.com/fi/podcast/kirjakerho/id993152637?l=fi&mt=2"
"Kirjanmerkki","https://rss.simplecast.com/podcasts/8209/rss",
"Kirjapinon takaa -podcast","http://feeds.soundcloud.com/users/soundcloud:users:340278973/sounds.rss",
"Kirjoittamisesta","http://jakso.fi/podcastit/kirjoittamisesta/feed","https://itunes.apple.com/us/podcast/id1210163350?mt=2&at=1000lwWI"
"Kolme miestä ja elokuvasauva","http://feeds.soundcloud.com/users/soundcloud:users:1420751/sounds.rss",
"Komediaradio-podcast","http://feeds.soundcloud.com/users/soundcloud:users:327520824/sounds.rss",
"Kontrolleri Podcast","http://feeds.soundcloud.com/users/soundcloud:users:147161844/sounds.rss","https://itunes.apple.com/fi/podcast/vptvcast/id983967691?l=fi&mt=2"
"Kuin Ananas ja Kookos","http://kuinananasjakookos.libsyn.com/rss",
"Kuulitsä","http://feeds.soundcloud.com/users/soundcloud:users:51214887/sounds.rss","https://itunes.apple.com/fi/podcast/kuulitsa/id1152279299?mt=2"
"Kyberykset","http://kyberykset.libsyn.com/rss",
"Kymppikerho","http://feeds.soundcloud.com/users/soundcloud:users:431068578/sounds.rss",
"Lapin Kansan podcastit","http://feeds.soundcloud.com/users/soundcloud:users:183727954/sounds.rss",
"Lautakunta","http://feeds.soundcloud.com/users/soundcloud:users:201911010/sounds.rss",
"Lautapelihetki","https://anchor.fm/s/2c1ef88/podcast/rss",
"Lepopäivä","http://feeds.podtrac.com/_e3P-1OrTiz9","https://itunes.apple.com/fi/podcast/lepopaiva/id722853626?mt=2"
"Lily Talks","https://rss.simplecast.com/podcasts/4884/rss","https://itunes.apple.com/fi/podcast/lily-talks/id1380196578"
"Lindgren & Sihvonen","http://feeds.yle.fi/areena/v1/series/1-2320317.rss?lang=fi","https://itunes.apple.com/fi/podcast/lindgren-sihvonen/id993141079?mt=2&uo=4&at=10l4Yx&app=itunes"
"Loose Ends Podcast","http://feeds.soundcloud.com/users/soundcloud:users:342504760/sounds.rss",
"Loukomiehen koulu","http://feeds.soundcloud.com/users/soundcloud:users:180127377/sounds.rss","https://itunes.apple.com/fi/podcast/loukomiehen-koulu-osa-1-tuomo/id1101710083?i=366453880&l=fi&mt=2"
"Lukuvika","http://feeds.soundcloud.com/users/soundcloud:users:334747442/sounds.rss",
"Luontovalokuvan jäljillä","http://feeds.yle.fi/areena/v1/series/1-2974735.rss?lang=fi&downloadable=true","https://itunes.apple.com/fi/podcast/luontovalokuvan-jaljilla/id1035621086?l=fi&mt=2"
"Luovia: Podcast taiteesta, yrittäjyydestä ja luovuudesta","http://feeds.soundcloud.com/users/soundcloud:users:312513782/sounds.rss",
"Lähdesuoja","http://jakso.fi/podcastit/lahdesuoja/feed","https://itunes.apple.com/fi/podcast/lahdesuoja/id1048467421?mt=2&ls=1&at=1000lwWI"
"Länsirannikon Salibandyfoorumi","http://feeds.soundcloud.com/users/soundcloud:users:309595133/sounds.rss",
"Maa & taivas","https://feeds.soundcloud.com/users/soundcloud:users:419965962/sounds.rss",
"Magnus och Peppes podcast","http://rss.acast.com/magnusochpeppe","https://itunes.apple.com/fi/podcast/magnus-och-peppes-podcast/id723772584?mt=2"
"Markkinointimania","http://feeds.feedburner.com/markkinointimania","https://itunes.apple.com/fi/podcast/markkinointimania/id908928644?l=fi&mt=2"
"MarkkinointiRadio","http://feeds.soundcloud.com/users/soundcloud:users:446979957/sounds.rss",
"Marraslahden radio","http://aavetaajuus.fi/blog/kategoria/marraslahden-radio/feed/podcast/",
"Matkalla Trumpin Amerikkaan","http://feeds.soundcloud.com/users/soundcloud:users:267383885/sounds.rss","https://itunes.apple.com/fi/podcast/matkalla-trumpin-amerikkaan/id1174872428?l=fi&mt=2"
"Mellan raderna - en podcast om läsning","http://feeds.soundcloud.com/users/soundcloud:users:175684260/sounds.rss","https://itunes.apple.com/se/podcast/mellan-raderna-en-podcast-om-l%C3%A4sning/id1046991624?mt=2"
"Menestyksen Määritelmä Podcast","http://feeds.soundcloud.com/users/soundcloud:users:342917134/sounds.rss","https://itunes.apple.com/fi/podcast/menestyksen-m%C3%A4%C3%A4ritelm%C3%A4-podcast/id1332461764?mt=2"
